5808	16b	A	TAC 7L	Tac 7L 	Fire-Tac 
5552	15b	A	TAC 7M	Tac 7M 	Fire-Tac 
8432	20f	A	TAC 7N	Tac 7N 	Fire-Tac 
5136	141	A	7P SND EMG	Fire Emergency 	Emergency Ops 
6832	1ab	A	CMD 8A	Command 8A - South Bay 	Fire-Talk 
6768	1a7	A	TAC 8B	Tac 8B - South Bay 	Fire-Tac 
6928	1b1	A	TAC 8C	Tac 8C - South Bay 	Fire-Tac 
7792	1e7	A	CMD 8D	Command 8D - West of I-805 & South of I-8 	Fire-Talk 
7728	1e3	A	TAC 8E	Tac 8E - West of I-805 & South of I-8 	Fire-Tac 
7888	1ed	A	TAC 8F	Tac 8F - West of I-805 & South of I-8 	Fire-Tac 
7152	1bf	A	CMD 8G	Command 8G - E of I-805 & S of I-8 	Fire-Talk 
7088	1bb	A	TAC 8H	Tac 8H - E of I-805 & S of I-8 	Fire-Tac 
7248	1c5	A	TAC 8I	Tac 8I - E of I-805 & S of I-8 	Fire-Tac 
5712	165	A	TAC 8J	Tac 8J - Battalion 1 Training 	Fire-Tac 
7312	1c9	A	TAC 8K	Tac 8K - Battalion 2 Training 	Fire-Tac 
7632	1dd	A	TAC 8L	Tac 8L - Battalion 4 Training 	Fire-Tac 
7952	1f1	A	TAC 8M	Tac 8M - Battalion 6 Training 	Fire-Tac 
6352	18d	A	RIC 8N	Rapid Intervention Crew 8N 	Fire-Tac 
5968	175	A	CMD 9A	Command 9A - North of I-8 (+Poway) 	Fire-Talk 
5872	16f	A	TAC 9B	Tac 9B - North of I-8 (+Poway) 	Fire-Tac 
6032	179	A	TAC 9C	Tac 9C - North of I-8 (+Poway) 	Fire-Tac 
5328	14d	A	CMD 9D	Command 9D - Metro Command 	Fire-Talk 
5392	151	A	TAC 9E	Tac 9E - Metro Primary Tac 	Fire-Tac 
8272	205	A	TAC 9F	Tac 9F - Metro Secondary Tac 	Fire-Tac 
5488	157	A	CMD 9G	Command 9G - Citywide & San Pasqual Command 	Fire-Talk 
6128	17f	A	TAC 9H	Tac 9H - Citywide & San Pasqual Primary Tac 	Fire-Tac 
8528	215	A	TAC 9I	Tac 9I - Citywide & San Pasqual Secondary Tac 	Fire-Tac 
6992	1b5	A	TAC 9J	Tac 9J - Battalion 3 Training 	Fire-Tac 
8592	219	A	TAC 9K	Tac 9K - Battalion 5 Training 	Fire-Tac 
8688	21f	A	TAC 9L	Tac 9L - Battalion 7 Training 	Fire-Tac 
8752	223	A	TAC 9M	Tac 9M 	Fire-Tac 
8112	1fb	A	TAC 9N	Tac 9N 	Fire-Tac 
9360	249	A	21A-GDISP	Rural-Metro General Dispatch 	EMS Dispatch 
9424	24d	A	21B-GTAC1	Rural-Metro General Tac 1 	EMS-Tac 
9456	24f	A	21C-GTAC2	Rural-Metro General Tac 2 	EMS-Tac 
9488	251	A	21D-GTAC3	Rural-Metro General Tac 3 	EMS-Tac 
9520	253	A	21E-GTAC4	Rural-Metro General Tac 4 	EMS-Tac 
25872	651	A	6A SCV	Scripps Memorial Hospital Chula Vista 	Hospital 
25936	655	A	6B SLJ	Scripps Hospital La Jolla 	Hospital 
26064	65d	A	6C PAL	Palomar Hospital 	Hospital 
25680	645	A	6D UCSD	UCSD Hospital 	Hospital 
25808	64d	A	6E MERC	Mercy Hospital 	Hospital 
25744	649	A	6F SHAR	Sharp Hospital 	Hospital 
26000	659	A	6G GROS	Grossmont Hospital 	Hospital 
8816	227	A	16A B1 TRNG	Battalion 1 Training 	Fire-Talk 
8848	229	A	16B B2 TRNG	Battalion 2 Training 	Fire-Talk 
8880	22b	A	16C B3 TRNG	Battalion 3 Training 	Fire-Talk 
8912	22d	A	16D B4 TRNG	Battalion 4 Training 	Fire-Talk 
8944	22f	A	16E B5 TRNG	Battalion 5 Training 	Fire-Talk 
8976	231	A	16F B6 TRNG	Battalion 6 Training 	Fire-Talk 
9008	233	A	16G B7 TRNG	Battalion 7 Training 	Fire-Talk 
9040	235	A	16H Open	Open Channel 	Fire-Talk 
9072	237	A	16I NTC TRNG	NTC Training 	Fire-Talk 
9104	239	A	16J NTC TRNG	NTC Training 	Fire-Talk 
9136	23b	A	16K EVNT	Special Events 	Fire-Talk 
9168	23d	A	16L EVNT	Special Events 	Fire-Talk 
9200	23f	A	16M EVNT	Special Events 	Fire-Talk 
9232	241	A	16N EVNT	Special Events 	Fire-Talk 
4752	129	A	LG DIS 1	Dispatch 1 	Multi-Dispatch 
19280	4b5	A	LG DIS 2	Dispatch 2 	Multi-Talk 
19312	4b7	A	LG D3	Dispatch 3 	Multi-Talk 
19344	4b9	A	LG INQUIRY	Inquiry 	Multi-Talk 
19408	4bd	A	LG TAC 1	Tac 1 	Multi-Tac 
19472	4c1	A	LG TAC 2	Tac 2 	Multi-Tac 
19536	4c5	A	LG TAC 3	Tac 3 	Multi-Tac 
19600	4c9	A	LG TAC 4	Tac 4 	Multi-Tac 
19664	4cd	A	LG TAC 5	Tac 5 	Multi-Tac 
19728	4d1	A	LG TAC 6	Tac 6 	Multi-Tac 
19792	4d5	A	LG TAC 7	Tac 7 	Multi-Tac 
19824	4d7	A	LG TAC 8	Tac 8  	Multi-Tac 
19856	4d9	A	LG RIVCMD	River Command 	Multi-Talk 
19920	4dd	A	LG RVTC	River Tac 	Multi-Tac 
19984	4e1	A	LG ADMIN	Admin 	Multi-Talk 
20080	4e7	A	LG D2 TAC	Dispatch 2 Tac 	Multi-Talk 
20112	4e9	A	LG D3 TAC	Dispatch 3 Tac 	Multi-Talk 
20176	4ed	A	LG SPEC 1	Special 1 	Multi-Talk 
20208	4ef	A	LG SPEC 2	Special 2 	Multi-Talk 
20272	4f3	A	LG JGOPS	Junior Guards Ops 	Multi-Talk 
20304	4f5	A	LG JGTAC	Junior Guards Tac 	Multi-Talk 
20336	4f7	A	LG TRN 1	Training 1 	Multi-Talk 
20368	4f9	A	LG TRN 2	Training 2 	Multi-Talk 
20816	515	D	RANGER TAC 1	Tactical 1 - Tecolote Cyn, Marian Bear, Mission Vly Preserve, Rose Cyn 	Public Works 
20496	501	D	RANGER TAC 2	Tactical 2 - Penasquitos, Black Mtn, Otay Valley 	Public Works 
20528	503	D	RANGER TAC 3	Tactical 3 - Mission Trails, Cowles Mtn 	Public Works 
20624	509	D	RANGER TAC 4	Tactical 4 - Mission Bay Park, Shoreline Parks 	Public Works 
20720	50f	D	RANGER TAC 5	Tactical 5 - Balboa Park, Chollas Lake 	Public Works 
25104	621	A	Rangers Lakes	Park Rangers - Reservoir Lakes 	Public Works 
25168	625	A	Rangers 25168	Park Rangers 	Public Works 
9392	24b	A	SD APS	Adult Protective Services 	Law Talk 
11536	2d1	A	LOST	DYN Regroup for Lost or Stolen Radios 	Public Works 
16144	3f1	A	SD C&E 1	Communications & Electronics 1 	Public Works 
16176	3f3	A	SD C&E 2	Communications & Electronics 2 	Public Works 
16208	3f5	A	SD C&E 3	Communications & Electronics 3 	Public Works 
16240	3f7	A	SD C&E 4	Communications & Electronics 4 	Public Works 
20752	511	A	Prks Beach Maint	Parks Beach Maintenance 	Public Works 
20784	513	A	MH Cemetery	Mount Hope Cemetery 	Public Works 
20912	51b	A	PW 38 CALL	Station 38 Calling - Dispatch for Misc Public Works Depts 	Public Works 
20944	51d	A	PW CITY DISP	Public Works After Hours City Dispatch - Station 38 (Evenings, Nights, Weekends) 	Public Works 
20976	51f	A	PW WATER DISP	Water Dispatch 	Public Works 
21104	527	A	SD W 21104	Water 	Public Works 
21136	529	A	SD W 21136	Water 	Public Works 
21168	52b	A	SD W 21168	Water 	Public Works 
21200	52d	A	SD W 21200	Water 	Public Works 
21232	52f	A	SD W 21232	Water 	Public Works 
21264	531	A	SD W 21264	Water 	Public Works 
21296	533	A	SD W 21296	Water 	Public Works 
21328	535	A	SD W 21328	Water 	Public Works 
21392	539	A	SD W 21392	Water 	Public Works 
21488	53f	A	SD W 21488	Water 	Public Works 
21520	541	A	SD W 21520	Water 	Public Works 
22416	579	A	SD Radio	Radio Shop 	Public Works 
22480	57d	A	SD PW 22480	Public Works 	Public Works 
23184	5a9	A	SD PW 23184	Public Works 	Public Works 
23216	5ab	A	SD 23216	Maintenance 	Public Works 
23472	5bb	A	SD 23472	Maintenance 	Public Works 
23504	5bd	A	SD PW 23504	Public Works 	Public Works 
23536	5bf	A	SD PW 23536	Public Works - Storm Water 	Public Works 
23760	5cd	A	WasteW SBWRP	Wastewater - South Bay Water Reclamation Plant 	Public Works 
23856	5d3	A	SD Water 1E	Water 1E 	Public Works 
24080	5e1	A	SD Water 2D	Water 2D 	Public Works 
24144	5e5	A	SD PW 2B	Public Works Maintenance 2B 	Public Works 
24368	5f3	A	SD PW 2C	Public Works Maintenance 2C 	Public Works 
24624	603	A	Alvarado Trt	Water - Alvarado Water Treatment Plant 	Public Works 
27216	6a5	A	SD Build A	Building Inspection A 	Public Works 
27312	6ab	A	SD Build B	Building Inspection B 	Public Works 
27344	6ad	A	SD Build C	Building Inspection C 	Public Works 
27408	6b1	A	SD Build D	Building Inspection D 	Public Works 
27536	6b9	A	SD Code 1A	Code Enforcement 1A 	Public Works 
27568	6bb	A	SD Code 1B	Code Enforcement 1B 	Public Works 
27600	6bd	A	SD Code 1C	Code Enforcement 1C 	Public Works 
27664	6c1	A	SD Code 1D	Code Enforcement 1D 	Public Works 
28016	6d7	A	SD PW 28016	Public Works 	Public Works 
28048	6d9	A	SD PW 28048	Public Works 	Public Works 
32656	7f9	A	SD PW LF 1	Land Fill 1 (Miramar Landfill) 	Public Works 
32688	7fb	D	SD PW LF 2	Land Fill 2 (Miramar Landfill) 	Public Works 
33136	817	D	SDCCU Security	SDCCU Stadium Security 	Security 
9808	265	A	SDUSD PD Adm	Police Administration 	Schools 
9968	26f	A	SDUSD PD Dsp	Police Dispatch 	Schools 
10000	271	A	SDUSD TransA	Transportation A 	Schools 
10032	273	A	SDUSD TransA	Transportation A (84 passenger Buses) 	Schools 
10128	279	A	SDUSD TransC	Transportation C (48 Passenger Buses) 	Schools 
10192	27d	A	SDUSDTransWC	Transportation D (48 Passenger Wheelchair Buses) 	Schools 
10352	287	A	SDUSD 10352	Transportation 	Schools 
10416	28b	A	SDUSD 2G	Maintenance 	Schools 
10480	28f	A	SDUSD Secrty	Security 	Schools 
